key,name,longitude,latitude
Ys,YEBES40M,-3.0868620759333196,40.52466532863636
Ft,FORTLEZA,-38.425858449335394,-3.877859209503083
Kk,KOKEE,-159.66509777325183,22.12663807574763
Is,ISHIOKA,140.21895707831237,36.209190280563945
Yg,YARRA12M,115.34562672224446,-29.047145361445747
Sv,SVETLOE,29.781939666882664,60.53234493233501
Ht,HART15M,27.68426900496594,-25.889735335790288
Ma,MATERA,16.704015913087,40.649523695980385
Wz,WETTZELL,12.877450413448946,49.145007644414285
Wn,WETTZ13N,12.877701111177204,49.14391280562501
Ny,NYALES20,11.869692098941805,78.92911007626891
